n,t(n),log(n),log(n)*327262.58116673,sqrt(n),sqrt(n)*102979.60732002,,n*4001.71332608,nlog(n),nlog(n)*433.23865137,n^2,n^2*6.59930164,n^3,n^3*0.00994751,n^4,n^4*1.42444652E-05,n^5,n^5*1.98688978E-08,2^n,2^n*-3.58544121E-13
136,148080,7.087462841,2319461.383,11.66190379,1200938.273,,544233.0123,963.8949464,417596.5466,18496,122060.6832,2515456,25022.52422,342102016,4873.060262,46525874176,924.4178375,8.71E+40,-3.12336E+28
149,177720,7.21916852,2362563.724,12.20655562,1257026.304,,596255.2856,1075.65611,466015.8022,22201,146511.0958,3307949,32905.85642,492884401,7020.874699,73439775749,1459.167396,7.14E+44,-2.55866E+32
163,212664,7.348728154,2404963.744,12.76714533,1314755.613,,652279.2722,1197.842689,518951.7512,26569,175336.8454,4330747,43080.14995,705911761,10055.33552,115063617043,2286.187244,1.17E+49,-4.1921E+36
179,256440,7.483815777,2449172.868,13.37908816,1377773.245,,716306.6854,1339.603024,580367.8075,32041,211448.224,5735339,57052.3432,1026625681,14623.73379,183765996899,3651.227805,7.66E+53,-2.74734E+41
196,307440,7.614709844,2492009.598,14,1441714.502,,784335.8119,1492.483129,646601.3782,38416,253518.772,7529536,74900.13616,1475789056,21021.82585,289254654976,5747.171168,1.00E+59,-3.60099E+46
215,369912,7.74819285,2535693.591,14.6628783,1509977.449,,860368.3651,1665.861463,721715.5734,46225,305052.7185,9938375,98862.08668,2136750625,30436.86992,459401384375,9127.79914,5.27E+64,-1.88796E+52
259,445680,8.016808288,2623601.373,16.09347694,1657299.936,,1036443.751,2076.353347,899556.5236,67081,442687.7536,17373979,172827.8333,4499860561,64098.10717,1165463885299,23156.48279,9.26E+77,-3.32133E+65
284,536760,8.14974712,2667107.278,16.85229955,1735443.19,,1136486.585,2314.528182,1002743.068,80656,532273.2734,22906304,227860.6927,6505390336,92665.80626,1847530855424,36708.40169,3.11E+85,-1.11445E+73
312,645360,8.285402219,2711502.116,17.66352173,1818982.532,,1248534.558,2585.045492,1119941.623,97344,642402.4193,30371328,302119.095,9475854336,134978.4773,2956466552832,58741.73169,8.34E+93,-2.99158E+81
343,778864,8.422064766,2756226.654,18.52025918,1907209.018,,1372587.671,2888.768215,1251526.045,117649,776401.2391,40353607,401417.9172,13841287201,197161.7339,4747561509943,94328.81428,1.79E+103,-6.42438E+90
377,941304,8.558420713,2800850.853,19.41648784,1999502.293,,1508645.924,3226.524609,1397855.17,142129,937952.1434,53582633,533013.7883,20200652641,287747.4936,7615646045657,151314.4927,3.08E+113,-1.1037E+101
414,1137144,8.693486957,2845052.981,20.34698995,2095325.035,,1656709.317,3599.1036,1559270.79,171396,1131093.905,70957944,705854.8717,29376588816,418453.7971,12161907769824,241643.7021,4.23E+124,-1.51691E+112
455,1371280,8.829722735,2889637.853,21.33072901,2196630.097,,1820779.563,4017.523844,1740546.612,207025,1366220.423,94196375,937019.401,42859350625,610508.5285,19501004534375,387463.4654,9.30E+136,-3.33573E+124
500,1656312,8.965784285,2934165.707,22.36067977,2302694.023,,2000856.663,4482.892142,1942162.146,250000,1649825.411,125000000,1243438.775,62500000000,890279.0751,31250000000000,620903.0552,3.27E+150,-1.17365E+138
550,2000112,9.103287808,2979165.465,23.4520788,2415085.866,,2200942.329,5006.808295,2169142.873,302500,1996288.747,166375000,1655017.009,91506250000,1303457.594,50328437500000,999970.5795,3.69E+165,-1.32142E+153
605,2420112,9.240791332,3024165.223,24.59674775,2532963.425,,2421036.562,5590.678756,2422098.124,366025,2415509.384,221445125,2202827.64,133974300625,1908392.263,81054451878125,1610462.618,1.33E+182,-4.76091E+169
665,2928312,9.37721053,3068810.122,25.78759392,2655596.295,,2661139.362,6235.845003,2701609.079,442225,2918376.17,294079625,2925360.069,195562950625,2785689.645,130049362165625,2583937.482,1.53E+200,-5.48896E+187
731,3537912,9.513727596,3113487.05,27.03701167,2784260.845,,2925252.441,6954.534873,3012973.309,534361,3526409.426,390617891,3885675.455,285541678321,4067388.5,208730966852651,4147254.241,1.13E+220,-4.05013E+207
,,,,,,,,,,,,,,,,,,,
X,,327262.5812,,102979.6073,,4001.713326,,4.33E+02,,6.59930164,,0.00994751,,1.42E-05,,1.99E-08,,-3.59E-13,
MSE,,,2962058639313,,7.39E+11,,1.03E+11,,5.74E+10,,2.89E+08,,3.47E+10,,9.17E+10,,1.49E+11,,3.347671E+413
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,Min,2.89E+08,suy ra,n^2 là độ phức tạp cần tìm,,,,,,,,,,
